activation_function,batch_size,regularization,learning_rate,optimizer,best_val_accuracy,best_epoch
LogSigmoid,128,L1,0.1,SGD,58.166666666666664,7
LogSigmoid,128,L1,0.1,Adam,55.833333333333336,6
LogSigmoid,128,L1,0.01,SGD,60.833333333333336,15
LogSigmoid,128,L1,0.01,Adam,50.833333333333336,3
LogSigmoid,128,L1,0.001,SGD,54.666666666666664,14
LogSigmoid,128,L1,0.001,Adam,58.5,13
LogSigmoid,128,L2,0.1,SGD,59.666666666666664,9
LogSigmoid,128,L2,0.1,Adam,50.0,1
LogSigmoid,128,L2,0.01,SGD,61.166666666666664,13
LogSigmoid,128,L2,0.01,Adam,55.333333333333336,5
LogSigmoid,128,L2,0.001,SGD,61.166666666666664,15
LogSigmoid,128,L2,0.001,Adam,59.333333333333336,9
LogSigmoid,256,,0.1,SGD,61.166666666666664,15
LogSigmoid,256,,0.1,Adam,50.0,1
LogSigmoid,256,,0.01,SGD,61.666666666666664,12
LogSigmoid,256,,0.01,Adam,50.0,1
LogSigmoid,256,,0.001,SGD,56.833333333333336,4
LogSigmoid,256,,0.001,Adam,57.833333333333336,14
LogSigmoid,256,L1,0.1,SGD,59.333333333333336,11
LogSigmoid,256,L1,0.1,Adam,50.0,1
LogSigmoid,256,L1,0.01,SGD,59.666666666666664,12
LogSigmoid,256,L1,0.01,Adam,50.0,1
LogSigmoid,256,L1,0.001,SGD,58.666666666666664,14
LogSigmoid,256,L1,0.001,Adam,58.166666666666664,8
LogSigmoid,256,L2,0.1,SGD,57.833333333333336,9
LogSigmoid,256,L2,0.1,Adam,50.0,2
LogSigmoid,256,L2,0.01,SGD,59.166666666666664,10
LogSigmoid,256,L2,0.01,Adam,50.0,1
LogSigmoid,256,L2,0.001,SGD,55.333333333333336,15
LogSigmoid,256,L2,0.001,Adam,61.833333333333336,14
ELU,64,,0.1,SGD,64.83333333333333,10
ELU,64,,0.1,Adam,53.666666666666664,2
ELU,64,,0.01,SGD,66.33333333333333,7
